70 800
27 22 32
35 50 63
52 58 31
6 25 52
70 33 52
51 31 64
69 56 39
69 68 23
47 17 53
48 21 16
52 46 1
61 15 69
60 42 62
4 53 38
67 70 38
57 44 71
11 9 23
43 35 46
70 65 49
53 61 54
39 14 57
4 7 79
61 59 25
26 31 11
53 54 77
59 18 2
50 39 72
24 50 79
23 47 77
68 64 1
15 54 54
29 11 27
40 70 1
70 60 4
32 54 29
69 58 55
59 66 66
59 63 5
2 53 6
70 59 62
16 6 57
68 66 28
57 48 42
14 17 72
4 55 31
58 29 66
50 59 33
36 28 62
32 17 78
46 1 1
37 49 69
37 43 40
5 51 61
67 15 66
43 26 47
11 62 49
43 67 23
58 49 13
21 25 39
9 46 16
54 29 52
18 25 59
28 40 72
21 34 32
63 43 14
60 69 22
32 69 56
58 23 24
29 70 12
55 8 38
27 52 19
10 69 50
67 69 41
41 60 37
52 48 16
46 63 40
57 58 13
27 3 59
66 70 73
45 41 17
21 66 65
51 63 49
52 40 55
46 66 39
22 33 47
6 62 66
69 70 66
28 21 64
53 46 11
9 40 20
40 16 79
63 60 9
64 42 34
35 19 6
12 37 34
66 27 56
54 55 69
11 60 64
70 35 54
27 47 4
62 16 35
22 56 68
49 4 39
53 28 59
67 65 51
9 27 53
65 64 61
41 42 13
28 12 60
65 54 69
20 14 51
40 68 21
42 9 29
28 5 63
68 70 50
12 7 35
57 70 66
61 50 9
58 32 78
67 57 26
68 63 59
24 37 38
20 15 33
57 30 33
57 46 47
66 67 80
50 6 53
42 11 75
4 58 14
43 57 2
42 58 32
19 34 50
58 54 34
2 18 69
29 35 40
10 55 9
45 54 41
70 58 33
13 64 3
70 5 50
57 65 71
15 3 3
55 67 63
11 1 32
64 55 14
56 52 60
29 31 56
44 68 68
68 61 3
41 37 57
63 11 77
51 46 67
46 65 9
41 19 7
70 51 56
67 60 75
39 41 72
42 4 7
41 56 57
56 58 56
28 70 39
58 53 64
35 45 10
61 70 26
45 50 59
59 35 10
46 55 54
60 61 11
60 33 56
53 67 46
64 60 61
54 51 56
63 67 8
16 27 36
68 65 32
60 53 40
61 67 56
59 31 69
1 37 54
15 37 79
47 49 6
68 51 36
18 32 79
1 45 22
56 28 45
1 48 25
18 66 78
60 23 7
39 6 21
70 64 77
49 42 43
66 63 80
36 23 49
47 5 1
32 57 17
42 40 57
7 22 2
61 62 37
3 54 79
68 59 70
12 53 22
59 60 19
64 69 12
37 21 76
16 57 4
69 29 57
6 66 74
58 36 61
40 57 49
36 6 49
28 46 76
29 15 19
2 40 2
67 68 2
40 35 30
68 60 53
43 40 61
33 47 14
35 62 75
47 14 5
49 33 63
34 44 37
59 58 12
46 26 76
51 66 44
27 54 61
48 69 26
1 55 77
44 64 69
69 49 39
37 58 72
60 66 21
3 67 52
24 18 68
62 53 48
3 33 23
43 19 80
45 60 9
14 11 17
42 38 47
47 32 30
14 16 2
53 47 60
44 29 60
41 30 57
14 65 60
59 64 65
65 59 67
47 59 42
51 32 50
6 70 15
64 50 77
52 60 60
20 18 12
5 7 37
48 45 8
51 48 36
69 61 22
63 47 77
1 19 55
50 10 13
2 45 3
23 29 53
53 51 1
31 4 22
37 53 75
59 2 68
67 23 32
14 62 22
55 70 18
25 15 58
6 11 69
42 54 78
59 67 22
60 30 56
53 36 49
36 37 71
53 52 28
57 2 8
35 31 80
68 52 30
59 57 75
28 24 20
13 7 76
56 33 22
70 53 72
67 44 52
17 39 27
23 34 45
50 51 25
37 64 19
42 65 54
68 37 69
51 29 54
57 53 49
33 55 53
20 42 37
32 70 14
40 53 58
30 32 67
58 33 56
33 61 4
43 69 33
42 33 14
51 56 41
38 24 55
37 60 48
47 13 38
39 32 75
48 34 17
51 10 4
54 50 54
27 56 72
54 37 20
35 30 65
62 49 65
47 68 31
5 69 30
19 26 42
61 24 53
17 46 78
66 64 73
66 37 37
1 3 61
13 48 70
53 33 45
57 27 12
50 62 24
39 13 1
26 18 32
30 34 23
24 6 26
28 18 41
43 53 27
9 22 43
14 23 68
15 45 34
56 11 57
65 25 58
6 14 11
49 51 13
16 15 13
46 44 24
32 38 19
37 45 58
43 33 39
25 20 21
30 3 80
70 46 48
15 43 41
52 64 27
18 17 76
18 58 48
43 25 13
29 22 76
49 60 34
1 35 49
31 37 60
55 19 15
63 62 60
30 48 22
26 62 67
24 31 3
25 53 25
13 29 36
54 43 79
29 10 63
44 25 33
52 26 32
25 70 32
5 62 58
50 60 22
33 65 76
37 46 60
34 8 10
57 52 14
6 42 11
38 18 46
64 63 57
1 62 65
1 59 19
25 12 64
53 35 61
62 66 30
68 15 79
47 67 45
42 28 17
11 31 45
40 66 56
50 70 79
32 35 32
61 55 17
55 12 72
64 47 34
50 8 68
70 54 31
49 31 1
68 32 24
45 53 7
37 44 43
70 3 62
68 35 44
65 10 20
40 29 33
31 67 42
17 67 71
6 7 37
19 15 11
39 31 78
14 61 2
51 19 2
41 35 33
59 40 34
58 27 4
55 68 61
64 40 80
61 56 68
17 5 55
48 37 33
53 32 44
48 24 27
21 53 57
66 12 49
39 69 3
11 57 11
46 59 75
13 44 19
70 16 49
15 64 79
11 15 15
27 20 31
63 65 27
41 59 4
19 33 37
10 66 46
11 23 8
27 70 64
25 11 8
40 34 51
69 6 73
64 45 61
52 44 59
58 60 38
55 41 73
23 3 61
1 68 53
14 18 19
30 10 59
53 50 30
66 69 34
22 26 80
53 41 40
23 1 61
3 19 80
39 22 67
65 53 55
28 47 5
51 55 55
10 45 7
11 16 8
61 66 5
64 43 43
51 30 11
40 31 68
26 68 39
62 69 6
13 23 56
40 50 47
23 52 72
45 44 19
47 37 68
6 34 57
61 64 28
45 39 43
54 47 42
49 28 23
21 3 73
33 25 59
23 12 36
14 36 51
8 51 7
10 39 45
16 37 38
70 19 47
14 24 38
44 19 59
60 57 3
35 56 60
60 14 67
65 6 43
9 65 9
21 36 53
36 24 25
7 47 6
16 63 51
47 42 31
20 22 53
65 20 69
28 43 14
34 4 72
16 51 21
23 9 55
69 54 30
54 46 48
55 49 30
64 27 37
4 52 74
18 41 9
23 5 65
15 38 39
65 4 36
61 40 43
16 26 51
58 47 66
34 57 80
17 58 72
49 67 24
67 33 59
65 39 80
67 12 27
1 50 59
39 37 4
62 64 6
16 46 41
52 2 38
63 69 28
56 68 34
56 60 49
61 31 62
15 27 68
28 13 38
8 39 17
65 69 33
56 45 79
67 22 32
56 26 5
53 30 72
31 17 29
27 36 42
22 48 35
18 36 10
34 27 66
36 32 59
23 22 74
63 58 25
25 1 67
52 70 8
23 68 19
48 62 79
16 32 11
56 47 33
47 51 78
12 39 6
61 42 76
55 56 24
65 15 23
33 66 70
56 43 76
62 51 7
56 57 41
2 6 67
41 66 39
35 6 35
65 21 1
5 13 62
22 10 35
31 38 57
39 59 18
59 62 53
61 49 32
57 61 19
27 37 12
36 35 14
61 30 6
43 70 3
50 43 19
55 62 6
46 21 7
31 46 15
65 56 73
48 38 74
59 53 43
1 6 8
9 43 48
18 65 58
59 19 21
66 32 14
59 24 62
69 57 65
60 32 63
61 48 55
7 70 40
4 54 57
44 50 23
3 8 8
58 50 7
38 45 14
16 36 22
57 12 28
58 6 77
7 50 13
63 70 19
9 7 67
53 34 8
18 15 74
12 61 44
36 47 61
24 57 23
62 31 4
28 16 76
30 12 37
11 46 11
40 15 62
53 23 15
55 17 29
22 49 25
40 37 33
53 38 43
1 60 36
57 14 23
53 55 79
5 29 80
7 21 76
49 3 45
66 52 54
14 67 25
62 65 56
64 67 17
65 58 46
44 36 18
27 26 57
18 56 69
70 62 13
37 59 66
7 16 25
24 15 36
57 41 30
57 3 2
36 49 27
56 30 54
22 18 63
29 9 39
51 59 6
18 62 71
51 45 67
61 21 67
7 69 43
46 39 28
58 46 22
51 9 79
44 12 31
61 34 30
56 12 16
34 26 63
47 34 60
61 2 57
2 13 71
20 60 15
59 34 4
38 54 40
13 26 78
46 50 71
52 25 80
15 63 77
63 61 21
29 2 55
68 8 80
51 38 71
36 60 25
27 60 27
45 8 53
32 13 36
67 45 7
57 13 16
38 34 77
32 34 20
50 49 57
22 24 79
35 13 58
50 22 79
60 51 75
46 10 38
66 19 25
58 45 74
43 58 2
24 25 68
11 26 12
45 59 14
68 41 11
26 29 3
43 66 42
42 62 46
60 55 50
29 21 38
46 36 41
59 27 54
22 45 42
28 44 51
65 30 60
45 70 22
49 27 80
35 21 9
21 1 27
34 7 18
68 9 56
29 34 20
70 49 11
17 12 23
64 19 8
12 15 76
58 67 63
64 30 28
30 5 72
22 19 11
69 16 75
54 20 20
7 35 76
48 66 23
59 3 29
15 48 5
38 4 39
14 49 58
21 44 8
57 63 31
6 23 51
22 63 61
43 49 33
47 41 33
33 6 74
14 64 79
14 68 22
54 68 28
14 41 28
60 5 2
30 49 68
4 2 62
35 9 26
30 8 58
49 44 2
31 64 31
34 68 60
38 69 2
54 10 51
18 47 75
6 48 62
69 59 5
14 28 71
69 42 24
62 46 57
16 48 78
35 18 3
54 49 70
27 46 4
65 36 9
35 47 28
31 8 72
43 34 63
40 44 13
47 48 80
57 19 4
41 34 35
21 40 4
2 10 23
13 52 79
41 9 7
55 36 32
62 52 62
9 54 36
39 20 9
47 52 27
15 50 18
44 42 79
67 38 6
25 35 65
12 41 35
2 58 67
34 39 70
47 6 63
43 12 46
40 8 35
12 62 41
57 23 54
57 42 31
36 7 64
18 21 34
38 1 46
41 70 6
40 18 2
69 55 54
50 26 1
44 32 18
46 23 75
68 28 37
16 23 42
28 58 16
66 47 18
35 4 36
27 18 12
66 31 4
70 22 1
