50 500
5 49 59
47 24 1
21 32 90
42 15 13
42 13 27
45 36 33
7 35 47
36 39 82
50 45 41
33 13 63
21 12 81
50 5 6
33 27 48
27 9 6
46 26 8
33 8 22
46 44 58
47 7 75
34 19 66
39 40 81
19 47 15
19 31 90
41 21 50
44 38 82
50 30 43
37 36 86
10 19 79
9 28 41
35 37 29
13 32 49
25 49 20
49 44 69
48 42 20
45 6 21
8 27 50
39 27 46
28 46 17
46 12 86
46 47 21
30 47 2
17 20 81
22 26 44
15 36 68
25 2 79
48 11 83
36 7 54
35 9 19
39 49 88
50 46 7
50 39 73
31 14 71
15 29 16
23 31 90
20 22 81
36 50 7
31 41 27
27 50 5
26 5 60
32 6 17
7 46 77
45 9 11
6 2 26
43 49 62
32 23 32
2 28 8
29 5 82
45 18 57
49 50 56
50 6 68
27 28 53
47 16 2
6 27 77
11 27 72
46 49 81
43 39 72
30 49 89
50 21 61
45 43 24
35 11 69
22 7 83
10 3 35
10 31 40
46 40 33
43 34 42
33 49 20
7 9 87
43 38 32
49 15 76
34 1 17
45 44 60
45 23 40
33 50 22
27 41 11
32 9 69
31 11 10
48 50 31
12 29 58
10 27 53
15 12 16
33 34 86
1 32 7
24 5 53
34 42 65
41 40 14
26 38 73
13 20 58
16 39 78
48 47 65
43 29 21
26 11 10
40 34 57
24 50 28
36 35 85
45 30 50
42 16 43
2 12 19
6 28 90
44 48 14
32 37 54
37 33 87
28 31 19
8 25 89
19 43 48
43 46 60
50 42 68
4 39 81
21 6 38
31 26 79
50 16 23
25 35 26
29 9 51
45 47 25
35 20 40
6 39 73
1 27 57
48 32 3
36 47 1
40 38 70
49 4 34
16 26 4
40 28 22
12 16 24
33 10 40
31 47 24
30 8 41
32 24 5
7 17 20
10 17 7
12 20 19
36 46 10
1 19 3
35 43 83
39 45 70
37 22 9
27 21 49
23 3 8
41 43 12
49 7 2
40 48 30
3 41 8
30 42 57
36 6 23
29 37 21
2 22 34
40 1 23
14 48 22
35 41 64
50 44 65
15 21 85
21 40 56
47 41 68
23 28 90
38 42 28
8 50 11
43 40 77
48 45 90
32 43 78
13 30 4
26 7 6
3 19 59
37 28 2
16 24 16
5 27 50
19 38 25
20 45 27
36 41 49
4 29 56
49 41 23
39 2 88
35 19 41
42 32 20
42 5 74
49 24 56
35 42 32
29 18 33
42 41 49
4 48 67
47 49 58
46 35 36
21 35 31
5 35 22
50 43 31
19 13 38
39 46 49
35 48 65
13 18 68
30 32 33
28 38 87
44 40 28
29 44 10
45 1 52
23 16 14
38 25 90
17 47 16
35 17 46
9 26 65
15 43 18
22 49 35
22 10 20
15 20 87
37 49 20
43 6 84
13 48 70
45 34 30
43 30 52
43 7 58
9 21 59
15 41 25
31 38 69
48 7 7
29 49 74
49 12 84
19 36 41
43 44 31
3 33 83
2 46 86
3 37 3
38 50 85
32 45 87
35 40 26
32 33 66
31 30 52
15 5 59
29 32 83
43 48 80
13 12 62
27 23 89
4 10 76
7 38 23
28 14 28
25 13 86
42 36 34
45 46 35
15 3 59
27 26 85
46 38 72
38 45 4
31 40 8
21 8 37
24 30 80
20 33 71
38 49 58
49 6 66
36 24 37
39 14 3
5 36 46
48 26 8
11 13 14
2 32 11
20 49 44
21 45 64
9 8 87
40 37 57
29 33 10
41 16 59
44 3 9
33 40 37
30 4 27
10 42 37
39 44 28
27 31 86
20 24 80
24 31 36
46 25 27
40 9 72
19 30 75
19 48 38
13 6 56
48 49 28
44 20 42
42 27 74
37 27 41
23 25 72
37 20 24
18 38 51
11 45 53
18 20 23
20 32 4
35 38 88
38 4 16
32 8 33
34 27 77
21 31 7
18 35 50
34 10 9
37 17 1
41 39 7
38 34 34
40 25 28
39 42 33
16 29 84
16 18 38
18 26 65
2 36 5
48 31 88
11 18 14
21 20 81
50 31 40
29 42 24
14 16 68
34 50 83
20 31 18
44 47 64
18 34 73
21 49 30
27 35 18
15 30 30
26 33 51
20 50 77
4 33 16
25 24 87
20 27 20
30 10 45
18 15 66
23 50 75
1 49 27
37 26 90
43 24 28
13 50 6
15 24 76
46 3 66
13 39 28
24 22 49
18 1 46
34 44 60
23 18 52
1 8 10
25 31 72
13 1 51
19 2 45
21 34 50
24 44 60
46 34 10
35 24 63
6 12 8
47 50 84
39 37 30
33 39 2
40 42 85
17 5 12
10 45 57
35 29 35
17 25 10
24 48 33
36 38 2
42 45 55
5 28 77
23 20 25
13 43 58
1 17 11
6 15 41
40 30 26
40 22 65
46 42 77
47 29 63
46 17 14
42 18 28
39 24 77
30 9 15
47 32 56
46 23 49
42 6 73
20 30 69
23 19 25
12 41 46
9 15 75
16 49 32
4 17 27
23 29 48
50 17 67
23 49 3
41 20 66
32 14 85
25 33 44
45 27 33
37 16 34
50 37 21
28 39 65
20 40 71
36 23 57
18 22 46
31 33 33
38 3 74
25 5 59
29 36 49
2 50 27
7 41 44
46 14 39
30 33 72
25 16 5
2 3 13
36 48 13
46 48 38
40 4 51
50 41 35
37 25 18
11 3 63
26 29 19
28 25 23
30 41 82
46 13 10
10 14 48
49 19 71
25 45 89
49 14 56
15 4 71
4 25 82
39 32 1
35 31 80
17 31 40
36 44 50
47 38 76
39 31 45
15 27 58
50 4 40
24 21 5
8 26 87
49 40 30
34 48 18
24 10 42
41 8 36
47 42 25
38 48 33
41 9 76
9 36 5
14 12 42
35 14 21
34 31 36
15 23 18
44 33 8
16 4 11
4 19 7
45 33 13
37 41 3
34 35 45
7 37 55
1 3 50
7 12 57
48 37 9
4 21 86
47 39 22
37 38 82
15 37 16
19 26 72
42 44 37
4 47 32
10 6 78
36 31 15
40 32 46
11 20 83
37 13 78
33 42 50
36 32 35
9 12 52
25 18 9
23 13 14
7 28 61
28 44 35
22 27 47
6 41 90
25 36 9
48 39 67
8 49 25
5 44 8
2 24 80
23 2 74
19 15 5
28 18 76
3 17 75
34 6 61
22 47 32
4 14 8
41 24 43
11 7 18
4 11 60
21 37 42
21 26 46
22 3 25
12 48 63
50 40 23
