100 2500
33 38 73
100 99 90
92 99 98
68 1 74
1 62 94
27 48 57
35 36 52
74 40 71
84 28 51
55 1 65
100 90 56
41 93 94
94 91 51
26 4 92
38 36 78
8 32 63
64 86 54
8 10 99
99 98 85
79 61 79
74 54 56
81 96 95
100 94 59
36 67 69
70 76 64
97 88 75
65 90 89
54 76 99
93 61 90
18 66 54
42 90 91
40 96 100
87 96 98
13 35 92
25 93 97
44 35 75
80 52 86
68 59 88
60 64 87
60 68 96
46 65 66
99 53 56
1 10 56
82 87 71
80 75 67
51 7 90
22 7 66
39 35 78
2 20 58
46 91 89
58 75 70
92 96 87
26 21 96
94 69 67
35 6 75
57 40 99
38 44 54
15 62 100
42 45 54
18 46 64
6 54 55
88 92 99
73 84 56
5 36 52
95 83 90
46 92 88
99 93 52
89 40 91
84 92 88
77 54 97
34 36 70
58 95 83
81 20 85
89 51 100
16 6 84
94 82 97
19 94 86
52 61 83
88 18 87
50 84 58
53 92 80
49 41 59
81 88 98
14 16 77
68 65 55
93 96 96
51 77 75
33 5 66
11 35 62
82 99 74
81 93 52
43 97 83
81 39 89
20 10 72
2 80 65
59 90 82
58 50 54
77 97 74
83 48 91
52 2 94
83 59 67
77 56 75
46 35 67
61 89 85
29 60 54
3 93 77
9 21 57
77 87 92
27 38 54
87 97 81
99 27 72
19 83 63
78 83 74
39 62 74
51 55 69
77 60 85
29 80 88
95 93 71
74 71 83
1 74 53
54 20 79
62 19 78
83 36 55
53 29 53
96 100 79
90 69 97
75 76 87
25 33 88
40 68 94
39 25 67
39 98 91
94 70 90
25 89 74
96 98 81
21 16 86
18 71 64
9 93 59
97 78 50
57 70 76
13 77 69
52 74 51
100 88 79
97 26 75
33 59 64
29 48 73
24 98 71
90 48 86
51 75 57
93 87 85
99 90 70
77 73 74
95 100 66
52 70 99
95 96 52
75 69 99
42 11 62
56 46 98
48 82 95
58 54 88
32 46 58
88 99 100
92 91 58
60 76 71
26 83 51
28 83 96
83 96 61
98 88 74
86 75 89
58 31 93
52 47 65
48 78 84
94 28 83
87 88 81
90 83 65
13 64 89
94 61 100
90 26 69
43 70 73
76 98 84
26 49 94
81 27 77
67 41 64
58 81 52
34 2 87
99 91 50
67 95 61
8 22 96
19 29 58
13 93 81
20 91 60
87 100 82
51 1 70
73 94 95
99 85 94
71 99 82
98 97 87
30 4 75
9 29 60
61 9 73
3 29 80
9 81 78
77 93 75
20 84 74
66 98 75
11 26 94
86 5 100
47 83 58
78 85 73
23 6 91
82 39 67
73 36 70
64 12 82
95 39 50
99 79 90
83 98 66
98 72 93
19 55 89
14 30 81
98 75 56
73 99 64
27 65 68
18 94 92
32 7 67
60 50 62
82 73 65
40 100 78
36 71 59
46 83 64
91 86 100
90 92 53
85 13 60
60 27 60
47 12 67
38 42 75
63 65 69
35 68 54
27 100 80
22 5 90
22 80 64
56 76 74
68 97 50
86 84 59
71 98 88
19 30 90
71 80 70
73 97 90
12 70 67
63 52 61
49 3 52
59 26 72
50 48 98
67 23 69
81 42 76
90 7 65
81 85 61
90 97 85
88 83 71
97 63 61
73 68 63
39 94 83
27 83 89
9 91 51
94 88 50
80 64 64
98 100 60
13 17 88
66 24 61
78 27 52
100 55 98
75 61 76
18 54 88
93 89 100
79 29 76
8 91 57
49 80 90
90 93 99
35 25 55
70 8 88
88 78 81
44 73 58
96 99 80
49 74 69
47 72 92
69 99 91
35 92 99
57 60 92
69 70 64
84 71 54
8 77 76
11 67 96
93 92 91
62 70 66
64 14 86
41 26 69
34 58 54
34 54 71
76 15 73
63 70 81
72 35 71
94 35 81
69 100 51
70 1 99
52 39 88
67 15 62
98 67 84
36 84 71
47 50 87
84 87 67
50 26 75
98 90 60
79 72 54
16 34 67
67 49 87
46 4 90
84 60 59
39 74 91
85 62 93
20 35 86
5 84 66
100 97 91
70 22 53
58 79 70
45 3 62
73 10 55
37 80 96
84 85 96
10 19 99
57 100 90
55 63 75
80 99 98
89 68 91
34 31 73
69 37 97
57 63 68
97 42 57
1 86 80
93 76 56
7 53 73
48 100 76
8 24 92
79 77 70
73 57 71
38 96 69
14 15 93
99 97 73
97 19 64
49 84 77
80 39 56
94 81 77
57 98 81
44 5 66
94 96 79
11 44 99
85 32 73
49 43 92
92 69 73
73 88 59
87 95 74
27 22 55
39 79 75
34 29 67
97 83 92
76 34 74
10 75 57
76 20 97
44 91 58
97 52 81
6 8 93
37 3 61
50 29 94
45 90 61
61 82 92
65 53 80
95 71 69
41 73 96
53 90 51
15 25 93
80 27 87
83 71 67
66 59 65
7 55 54
56 53 95
84 96 78
83 40 91
66 79 88
45 49 83
57 79 80
93 69 91
57 96 60
91 72 92
94 72 100
80 56 97
13 78 97
33 85 98
57 94 87
65 57 62
38 21 97
81 97 67
83 15 77
85 47 72
3 57 59
22 25 60
96 74 100
1 42 70
98 84 85
57 55 60
65 72 50
41 84 74
78 43 81
69 67 67
50 79 76
6 36 52
67 26 96
56 42 59
95 98 96
30 40 92
75 95 94
71 24 79
18 30 51
16 8 86
19 24 77
73 40 86
71 86 64
57 81 92
74 73 82
55 38 50
70 34 53
90 96 93
58 76 57
100 45 55
31 5 58
72 32 91
99 74 64
2 61 78
84 14 99
38 70 81
48 70 66
29 45 57
49 47 51
82 71 72
47 75 71
76 84 61
81 60 51
92 54 61
71 35 53
92 51 91
96 54 60
24 34 69
51 4 52
43 82 74
3 67 88
8 94 70
86 95 58
87 13 59
68 18 69
88 86 58
73 34 66
51 12 63
90 47 83
65 14 72
65 98 74
21 17 63
71 56 60
50 46 75
86 66 89
43 88 74
67 90 58
81 7 87
2 38 98
13 75 70
42 23 68
74 83 53
45 71 77
94 95 97
93 39 63
61 16 61
69 97 58
51 64 58
90 40 62
65 97 97
97 36 68
81 49 88
8 89 92
31 73 73
87 21 75
14 8 82
57 31 52
12 24 72
94 80 54
33 82 83
24 73 73
72 74 62
49 20 78
85 17 57
87 25 69
65 71 60
89 52 73
23 48 65
90 50 74
97 85 81
41 75 95
10 50 83
47 70 93
47 53 62
90 3 67
100 7 50
10 56 89
84 69 58
67 85 58
6 11 55
94 60 74
