100 1000
69 60 52
46 83 65
85 75 56
28 70 108
16 33 100
90 47 44
56 100 108
55 52 84
46 44 85
38 29 34
47 39 61
20 89 99
69 92 82
58 77 60
93 30 108
53 91 105
99 97 34
17 52 64
89 21 31
90 39 31
95 100 104
82 65 50
5 100 36
81 8 109
97 65 87
11 12 75
57 53 53
70 49 72
75 65 101
90 92 38
78 55 102
89 51 26
46 61 73
13 63 80
79 97 49
87 82 82
34 71 43
49 53 30
90 67 82
8 29 107
94 83 84
90 25 52
63 73 38
98 99 102
73 72 65
56 97 44
97 45 28
81 77 69
4 76 52
85 78 79
96 81 42
61 68 39
96 95 80
94 98 35
30 45 84
95 81 92
62 92 92
76 50 77
37 55 104
40 73 82
74 84 86
74 83 106
19 100 107
92 87 88
15 19 70
71 47 43
1 99 88
60 64 83
71 86 100
97 70 37
68 56 102
85 73 75
86 79 34
17 29 62
93 73 98
64 65 44
78 15 106
32 20 47
25 93 50
95 28 62
48 76 50
19 82 76
87 85 29
79 64 110
97 88 59
81 48 78
77 21 109
15 73 95
82 55 107
82 72 26
61 40 89
60 16 75
34 72 65
94 39 87
65 93 71
91 75 67
78 51 82
97 95 93
100 87 40
95 79 106
75 35 84
47 96 26
88 99 24
81 91 62
77 86 105
88 45 52
85 23 60
16 68 71
4 80 104
45 92 31
70 53 100
100 55 101
66 33 99
64 51 33
51 74 29
72 13 29
90 28 61
78 93 90
20 7 108
84 99 81
94 76 66
29 18 73
69 37 60
30 16 32
1 91 98
22 16 54
89 27 110
96 53 78
76 38 83
23 76 44
83 73 33
77 36 39
7 81 61
71 62 88
98 59 73
56 1 35
87 58 51
18 15 27
88 17 54
99 54 27
18 8 99
92 86 48
47 9 47
44 83 90
58 99 38
79 82 43
100 98 102
75 88 95
55 29 26
13 77 51
82 100 95
90 89 66
64 54 88
100 64 97
85 53 94
74 79 44
46 60 57
46 85 52
100 76 100
17 82 63
74 17 31
90 99 73
38 77 28
94 72 74
58 67 48
83 92 98
64 72 100
75 68 67
58 41 72
42 86 49
94 67 87
87 89 39
55 49 109
88 84 71
63 77 37
88 89 26
60 99 95
86 51 63
24 4 93
98 33 73
70 46 61
8 42 81
59 85 98
95 37 108
57 22 75
48 99 49
10 22 110
83 91 32
76 85 73
88 67 52
78 45 94
78 100 80
26 54 106
47 66 89
26 83 37
47 42 60
87 94 61
67 97 106
97 98 57
11 61 103
95 82 68
32 23 96
98 73 51
99 96 101
58 23 45
33 83 41
81 40 27
54 52 90
86 55 46
63 49 36
100 46 84
39 25 74
35 72 86
78 77 106
89 38 69
72 92 41
49 69 91
81 87 102
67 14 46
28 16 74
78 2 56
44 2 56
65 3 24
44 84 108
10 72 30
89 92 83
24 93 63
58 100 55
97 90 100
93 83 54
99 89 54
78 99 84
7 88 56
51 71 52
69 95 84
38 8 59
68 1 90
100 99 48
100 91 60
96 27 29
100 26 81
39 64 79
54 73 84
13 65 30
94 88 44
18 95 82
70 47 35
88 10 42
22 9 73
77 14 53
68 88 65
83 99 39
49 99 42
69 74 74
52 94 71
41 85 79
55 28 35
44 19 83
97 85 76
80 94 30
13 40 28
86 82 98
97 87 34
92 100 65
74 23 88
89 91 78
31 9 105
75 89 84
100 93 77
62 66 110
15 92 28
98 93 91
66 90 44
82 33 72
43 52 68
28 94 101
69 77 39
29 3 49
88 87 26
62 83 103
72 32 48
99 91 48
37 3 105
85 56 32
90 71 32
76 60 29
57 65 40
93 40 41
34 99 77
23 93 66
90 88 73
71 10 66
36 48 103
75 87 55
9 55 58
35 60 61
96 58 55
81 50 66
93 18 52
100 16 44
74 95 77
91 3 96
65 86 76
98 81 61
42 95 110
99 47 107
69 28 53
97 100 49
40 47 31
94 75 50
43 99 38
58 22 109
26 86 42
61 92 47
96 68 107
12 51 102
5 71 32
52 37 35
33 47 88
34 44 30
65 4 35
95 77 105
31 99 88
22 79 52
94 90 98
66 86 92
51 67 59
3 66 40
19 91 83
68 99 61
98 65 64
64 97 29
56 62 90
93 75 86
77 84 110
80 75 69
52 59 34
39 76 101
73 90 28
76 37 45
91 85 51
37 93 91
4 31 86
37 97 31
24 51 96
69 84 102
27 53 64
98 91 45
1 11 51
67 86 84
53 7 78
96 91 109
88 33 39
12 35 80
3 40 66
16 99 101
74 19 41
40 53 24
46 97 97
78 94 77
60 50 105
58 78 50
85 33 70
58 8 109
98 85 39
96 22 86
34 43 27
19 39 88
10 31 79
3 31 41
55 90 80
56 48 25
73 71 104
99 37 82
33 96 73
42 53 32
88 82 110
61 42 79
85 100 57
64 89 102
74 99 54
95 70 87
46 80 53
100 86 60
92 81 78
99 66 99
9 99 59
27 29 50
85 99 39
91 46 26
94 33 48
1 32 71
35 13 62
34 77 66
93 44 66
19 99 71
97 84 32
28 6 35
90 83 41
72 83 39
5 38 28
37 67 100
72 91 101
62 63 98
34 63 81
71 27 101
52 15 43
29 97 75
73 37 109
63 53 69
32 18 77
95 83 43
66 80 26
48 77 25
70 62 32
81 83 45
10 53 63
86 88 77
51 99 36
38 36 98
2 40 44
93 88 52
65 59 100
5 58 85
99 67 46
93 70 48
54 43 82
93 97 51
99 70 42
21 51 101
77 51 35
78 37 95
25 29 67
54 60 43
84 41 102
92 50 88
100 7 70
22 85 85
100 70 63
69 22 53
84 11 32
70 94 105
49 62 58
27 97 37
91 92 62
38 43 98
49 83 109
57 85 98
42 45 95
29 73 77
45 84 97
12 70 30
43 59 96
24 23 38
2 91 90
71 53 94
85 27 62
3 61 67
49 95 51
58 54 80
72 99 70
74 64 47
23 65 54
71 93 87
63 75 106
83 32 83
17 72 25
69 61 52
