30 300
24 20 45
12 17 57
28 17 61
14 24 31
4 19 1
1 8 11
29 28 82
27 12 67
13 29 69
25 1 42
13 25 60
26 29 80
7 10 6
16 29 67
27 6 93
18 20 5
27 20 11
25 24 62
26 27 4
12 6 72
14 4 76
26 17 3
10 28 52
26 28 56
27 28 65
23 21 75
29 25 17
5 25 6
15 27 71
15 29 49
20 6 1
21 27 9
10 4 56
28 30 2
30 5 80
19 25 39
28 25 95
15 5 32
26 24 47
19 14 45
14 30 30
30 21 38
11 21 28
6 24 28
10 13 96
18 5 29
15 2 10
26 19 71
21 17 23
9 7 60
3 22 25
30 18 69
16 3 90
21 22 62
7 30 100
25 30 4
24 16 14
20 26 9
18 29 51
4 1 27
8 24 37
4 23 85
30 29 15
21 24 34
10 19 19
21 15 12
6 17 25
29 24 10
20 4 99
23 28 61
25 11 76
11 8 74
10 29 48
8 30 65
16 26 86
30 10 94
9 17 43
27 5 17
13 21 78
20 15 35
6 3 70
30 27 41
9 28 89
17 2 14
18 23 24
6 16 93
18 9 31
18 6 66
13 12 46
22 23 10
18 15 42
18 24 42
5 8 12
24 5 30
21 12 55
15 24 52
21 25 3
14 23 61
23 12 75
12 24 34
25 27 14
15 9 73
22 27 2
2 20 99
16 23 16
23 7 35
8 23 50
5 19 96
14 25 56
15 8 85
28 2 89
18 28 66
24 30 43
30 23 28
28 1 55
6 9 4
17 14 61
10 20 21
26 3 61
16 28 29
25 12 19
25 6 92
29 27 8
8 14 1
30 1 24
22 30 81
25 18 48
22 20 64
24 2 76
28 8 15
4 22 49
20 25 58
25 23 78
22 19 48
30 19 30
24 27 43
2 5 35
26 22 19
13 23 39
14 22 65
20 19 44
18 11 94
8 25 36
21 26 31
13 27 73
20 29 95
18 12 90
24 22 60
14 29 55
1 24 30
28 14 3
30 12 89
12 5 5
22 17 91
6 7 87
22 5 39
26 30 39
8 4 67
5 17 32
11 15 31
30 20 9
10 16 73
26 7 69
8 12 49
24 11 97
20 28 89
11 30 15
18 4 15
14 2 34
6 26 99
19 21 53
10 26 87
26 25 45
28 24 63
23 24 61
13 8 26
26 8 88
18 26 87
16 25 66
17 27 54
20 23 56
10 15 67
2 19 56
20 21 100
11 5 29
4 5 59
28 6 3
4 17 14
20 17 43
10 18 45
29 12 76
2 10 37
11 26 68
6 23 33
10 25 28
17 23 83
10 21 50
6 11 30
15 13 86
10 22 98
29 19 11
17 25 19
9 22 92
26 13 76
3 5 7
16 30 4
11 27 33
30 17 22
16 11 100
15 30 8
15 17 81
25 4 64
29 9 19
4 16 53
25 15 41
7 19 22
8 10 25
12 14 89
2 30 37
5 21 78
22 25 53
21 29 51
18 7 27
1 11 66
8 20 66
5 9 31
19 13 33
12 22 4
12 19 94
22 28 36
18 19 64
10 5 41
15 28 86
7 16 73
16 27 46
14 15 86
24 3 3
28 7 74
12 16 94
17 19 40
21 3 75
24 10 47
7 14 44
10 27 90
21 16 94
19 23 9
12 1 33
21 28 96
24 9 87
20 9 6
15 16 12
2 23 89
15 22 48
16 1 22
27 19 37
26 23 33
4 9 94
13 9 89
11 13 39
30 3 43
10 9 24
21 7 43
13 30 2
2 11 99
13 4 82
13 6 53
3 28 10
14 11 5
11 29 10
8 21 47
29 1 52
29 2 72
28 12 70
23 27 57
18 21 86
19 15 68
26 4 44
8 3 60
22 16 89
29 23 81
25 2 29
15 1 23
25 3 55
11 19 84
3 7 67
8 17 29
25 9 66
1 6 44
1 27 36
7 20 7
14 13 22
18 17 38
20 14 74
24 17 33
13 24 52
1 26 53
27 18 67
12 11 62
13 22 9
3 18 10
