90 2000
7 42 10
6 23 19
78 73 30
42 54 5
18 44 17
10 62 53
2 79 69
14 53 17
41 82 1
90 68 19
66 46 2
7 43 31
46 67 49
44 61 16
67 59 31
47 76 52
2 4 15
87 68 33
61 41 19
88 81 39
54 65 19
83 78 1
67 85 23
35 39 16
71 62 36
90 75 39
80 88 40
33 66 14
89 85 3
54 37 62
52 2 68
38 83 21
83 43 11
53 37 20
77 81 45
88 87 5
70 69 21
18 42 24
79 85 21
44 43 48
89 88 17
27 10 23
25 68 3
57 72 4
80 28 5
9 19 42
84 87 60
14 9 30
66 73 8
71 11 62
7 36 56
51 49 8
44 79 63
84 78 35
38 15 50
90 76 49
70 36 17
89 70 70
89 79 59
60 80 32
62 36 21
13 30 17
71 78 60
89 84 31
31 15 21
2 14 51
76 17 13
55 73 18
87 60 61
61 33 11
84 85 40
34 52 48
54 40 48
58 12 24
4 61 38
64 55 33
43 8 17
37 56 66
15 60 62
43 38 27
16 33 19
18 5 9
82 81 65
47 50 4
88 57 44
78 48 58
68 76 67
9 26 29
13 50 52
12 45 4
5 58 11
76 83 17
76 73 40
15 65 55
90 84 66
59 2 59
45 36 31
90 73 45
26 46 43
54 35 39
73 61 61
87 42 28
69 68 41
7 10 13
86 68 66
90 88 20
41 88 61
82 88 70
77 51 60
90 70 17
54 18 34
90 87 49
79 72 50
30 16 14
79 84 59
25 71 23
67 70 51
47 21 54
52 62 68
13 22 50
31 57 66
81 63 45
49 54 32
89 86 59
42 16 40
64 71 32
86 67 45
45 66 47
73 3 23
85 82 68
11 88 40
73 65 24
27 49 13
1 74 41
1 9 26
40 36 6
52 87 28
15 68 48
53 65 18
80 55 24
45 21 22
82 79 34
77 47 42
32 37 28
49 79 64
79 88 15
48 58 17
75 68 11
1 24 56
46 45 39
20 42 43
27 11 47
72 49 44
37 5 63
89 77 18
83 86 14
66 8 29
37 29 12
4 63 33
86 90 51
57 54 56
64 82 58
51 5 8
50 58 61
52 79 1
83 19 60
35 15 6
63 53 51
27 5 41
89 58 49
55 54 29
55 19 67
39 49 30
51 21 44
72 90 27
34 3 13
90 21 14
27 62 25
54 78 10
84 72 69
61 60 19
82 60 40
87 8 66
77 50 4
69 19 52
82 86 31
15 88 27
86 70 8
88 20 1
72 77 45
10 71 50
31 72 65
87 51 54
21 41 11
27 77 4
84 82 40
56 24 50
71 55 38
7 73 46
67 75 12
64 6 64
50 74 30
26 18 68
6 51 53
53 23 70
44 47 8
76 75 41
82 48 19
90 89 61
59 18 37
38 58 11
14 90 5
26 69 27
90 62 25
77 6 58
3 16 21
23 78 53
20 24 33
75 69 40
61 85 29
88 84 46
84 27 29
54 60 2
42 76 59
46 82 19
66 81 43
11 68 62
90 1 56
28 44 27
51 12 52
85 90 39
22 46 56
83 59 41
24 44 55
53 30 23
90 13 17
2 77 59
89 62 25
11 80 28
69 58 44
72 89 40
64 90 2
25 62 51
77 26 52
4 12 27
79 87 67
47 88 38
21 54 64
82 89 32
58 59 14
90 45 26
87 36 53
57 66 64
86 45 25
14 73 46
82 22 44
78 52 19
64 51 21
56 34 27
40 81 20
14 72 37
37 15 13
84 41 52
36 90 4
23 74 56
75 10 60
59 90 64
65 69 39
36 4 8
52 85 2
16 69 49
81 80 42
62 69 34
3 44 43
58 63 17
26 8 56
80 29 54
67 71 29
76 88 30
28 35 15
79 78 4
68 73 42
86 7 8
28 13 4
49 24 1
48 55 59
28 83 31
42 53 8
74 73 28
56 49 41
79 69 32
64 83 63
15 5 57
76 89 2
29 87 62
17 75 48
66 74 28
16 52 31
13 54 48
11 10 20
85 81 43
85 55 29
21 44 70
66 25 42
67 51 38
30 86 67
80 89 13
56 66 19
68 1 48
73 80 10
70 40 29
20 6 56
83 40 24
56 88 49
83 87 9
84 22 2
40 8 63
16 83 34
28 43 1
71 16 53
22 38 17
73 67 64
51 88 35
20 70 9
60 46 70
84 63 57
59 76 40
76 14 36
87 80 25
75 79 8
19 17 41
21 33 8
66 5 33
15 76 45
45 60 67
24 81 53
58 85 3
56 43 55
79 80 62
37 45 1
53 49 33
75 44 54
43 25 62
85 77 41
77 34 69
90 81 24
19 86 45
63 26 61
61 83 26
16 75 30
84 70 49
79 21 51
76 65 2
48 68 60
65 82 68
33 87 51
59 39 38
89 12 27
53 1 51
62 75 13
71 66 24
8 16 46
84 44 59
38 88 3
69 52 65
76 85 32
56 55 35
60 81 47
34 21 8
87 70 46
14 66 49
82 24 67
1 31 47
7 16 70
75 43 59
70 80 57
68 44 5
73 88 22
28 33 16
46 63 20
59 51 11
28 45 14
22 25 8
87 81 35
1 47 27
9 28 48
78 7 56
54 44 22
51 16 19
63 78 20
78 87 28
58 68 58
44 83 34
51 85 17
89 69 26
60 71 39
79 83 42
27 3 26
20 2 18
35 82 2
73 57 45
7 35 16
62 3 49
48 62 39
75 37 35
23 87 38
85 87 38
57 84 49
62 45 9
59 53 20
76 12 53
74 51 13
41 38 57
69 51 56
25 73 22
85 72 6
81 61 23
82 90 69
44 67 31
68 8 51
55 88 60
7 18 10
63 79 52
35 78 1
74 77 30
67 90 50
89 75 49
14 69 19
77 76 29
78 56 10
10 48 57
76 81 29
60 41 35
64 48 43
63 7 61
10 36 43
57 62 60
49 82 34
90 24 67
34 43 8
45 54 65
24 31 8
52 72 28
86 84 31
39 11 8
75 88 63
17 40 3
71 53 17
45 4 21
74 26 11
86 48 33
86 51 70
51 66 62
40 79 11
36 25 7
88 44 2
64 56 9
32 62 62
12 78 57
85 22 46
70 82 48
84 76 6
53 54 15
74 55 9
65 83 31
89 8 19
45 74 16
48 74 55
70 56 11
20 1 52
86 87 58
88 32 26
87 82 5
81 83 51
52 55 54
36 88 70
55 13 67
41 80 7
78 86 41
69 84 26
12 49 29
71 69 54
86 63 30
74 46 20
81 89 1
90 60 61
77 88 54
81 8 25
50 41 8
43 26 50
79 55 5
26 68 66
78 25 17
61 80 19
69 72 53
64 59 51
3 65 33
44 52 9
72 74 21
72 67 25
60 84 33
79 66 63
29 89 24
53 85 5
57 41 54
71 82 6
79 73 40
6 90 8
84 46 50
7 50 34
10 15 67
36 33 58
53 31 16
89 87 9
53 75 2
43 40 5
49 21 7
44 41 1
76 87 49
55 45 46
41 18 21
79 77 10
84 83 4
16 50 62
13 65 26
77 73 14
35 79 9
16 26 49
90 63 32
89 45 44
28 58 11
6 13 50
74 86 66
56 89 33
70 59 41
80 40 15
27 38 40
74 79 9
88 86 60
42 81 42
38 26 63
81 73 31
11 82 59
67 20 4
30 37 52
77 30 67
70 31 18
14 35 11
13 29 43
45 58 16
44 63 35
14 44 8
5 85 50
34 38 69
26 40 21
82 76 6
87 62 47
69 80 16
64 7 27
82 68 69
20 11 47
52 75 26
68 59 52
74 54 23
39 84 14
87 63 37
59 22 31
37 8 58
55 8 33
6 22 61
75 58 28
42 2 60
77 44 1
46 80 2
12 9 49
80 67 50
57 45 25
5 9 43
67 89 7
8 84 43
29 57 44
20 29 39
19 54 4
39 77 62
66 3 62
90 15 7
80 21 69
41 55 7
51 45 69
87 27 64
68 60 11
62 51 58
29 81 20
59 88 36
64 65 64
59 17 24
85 83 70
85 54 57
69 66 4
9 55 7
25 89 56
64 70 62
24 61 66
50 86 14
18 37 43
26 87 68
33 86 68
42 56 3
88 71 15
30 51 40
50 73 18
35 38 48
90 55 9
34 44 2
71 74 1
8 29 48
7 72 66
79 50 63
83 80 15
52 88 33
41 9 32
18 45 6
89 60 62
43 82 40
56 19 13
59 21 58
73 26 6
1 29 18
8 5 35
28 34 67
7 49 45
4 66 69
66 11 49
40 48 2
13 76 51
11 53 65
72 87 8
63 6 67
33 90 61
40 39 37
11 28 2
53 79 59
49 5 24
7 48 23
84 49 38
2 83 28
80 38 52
14 54 13
2 1 48
80 48 43
29 28 13
9 68 22
21 14 48
21 46 45
65 57 38
61 51 2
31 77 31
89 22 6
5 17 65
58 46 33
84 26 1
63 31 59
68 51 41
2 29 42
64 88 28
50 62 11
69 8 29
32 41 13
88 85 54
70 81 14
67 76 62
7 37 24
61 72 23
88 37 60
49 17 32
30 29 4
83 13 35
59 54 41
36 19 21
84 68 24
11 36 61
6 32 28
58 7 20
57 76 31
77 8 45
56 48 32
21 65 6
52 6 1
65 20 44
58 4 63
20 79 66
83 60 48
77 87 35
78 80 14
52 7 43
50 52 10
32 18 37
19 88 48
67 1 63
66 60 48
50 90 20
65 63 59
90 38 62
30 22 23
13 21 17
71 49 13
13 36 52
41 59 52
27 45 56
12 59 22
53 35 65
87 32 51
81 84 62
24 34 4
28 67 36
85 20 36
42 88 30
53 68 36
