100 4950
1 2 92
1 3 42
1 4 84
1 5 66
1 6 69
1 7 39
1 8 14
1 9 52
1 10 35
1 11 47
1 12 21
1 13 59
1 14 52
1 15 19
1 16 82
1 17 5
1 18 66
1 19 30
1 20 11
1 21 55
1 22 30
1 23 66
1 24 82
1 25 63
1 26 7
1 27 5
1 28 56
1 29 91
1 30 12
1 31 96
1 32 84
1 33 51
1 34 6
1 35 63
1 36 58
1 37 28
1 38 28
1 39 77
1 40 90
1 41 98
1 42 63
1 43 93
1 44 54
1 45 59
1 46 8
1 47 57
1 48 51
1 49 97
1 50 51
1 51 7
1 52 42
1 53 14
1 54 70
1 55 89
1 56 61
1 57 98
1 58 95
1 59 16
1 60 43
1 61 21
1 62 98
1 63 52
1 64 26
1 65 33
1 66 79
1 67 85
1 68 23
1 69 70
1 70 19
1 71 46
1 72 36
1 73 96
1 74 88
1 75 35
1 76 41
1 77 5
1 78 62
1 79 96
1 80 55
1 81 60
1 82 11
1 83 17
1 84 60
1 85 9
1 86 39
1 87 34
1 88 94
1 89 46
1 90 100
1 91 7
1 92 96
1 93 81
1 94 91
1 95 68
1 96 90
1 97 74
1 98 32
1 99 5
1 100 45
2 3 3
2 4 26
2 5 2
2 6 83
2 7 67
2 8 33
2 9 98
2 10 13
2 11 55
2 12 40
2 13 10
2 14 42
2 15 63
2 16 72
2 17 23
2 18 64
2 19 80
2 20 22
2 21 16
2 22 26
2 23 23
2 24 33
2 25 67
2 26 31
2 27 35
2 28 4
2 29 26
2 30 54
2 31 77
2 32 50
2 33 3
2 34 77
2 35 43
2 36 39
2 37 6
2 38 31
2 39 76
2 40 37
2 41 53
2 42 87
2 43 3
2 44 3
2 45 64
2 46 62
2 47 10
2 48 80
2 49 34
2 50 26
2 51 81
2 52 48
2 53 59
2 54 28
2 55 55
2 56 14
2 57 28
2 58 86
2 59 45
2 60 29
2 61 44
2 62 29
2 63 13
2 64 8
2 65 57
2 66 34
2 67 48
2 68 23
2 69 98
2 70 12
2 71 54
2 72 33
2 73 86
2 74 82
2 75 93
2 76 79
2 77 61
2 78 5
2 79 85
2 80 10
2 81 44
2 82 60
2 83 71
2 84 20
2 85 23
2 86 42
2 87 45
2 88 63
2 89 31
2 90 43
2 91 49
2 92 26
2 93 58
2 94 51
2 95 32
2 96 60
2 97 86
2 98 87
2 99 33
2 100 26
3 4 94
3 5 64
3 6 21
3 7 43
3 8 22
3 9 39
3 10 13
3 11 31
3 12 39
3 13 89
3 14 59
3 15 54
3 16 18
3 17 26
3 18 9
3 19 65
3 20 33
3 21 86
3 22 12
3 23 59
3 24 12
3 25 87
3 26 79
3 27 79
3 28 51
3 29 85
3 30 16
3 31 16
3 32 55
3 33 70
3 34 79
3 35 84
3 36 79
3 37 66
3 38 38
3 39 66
3 40 25
3 41 31
3 42 64
3 43 64
3 44 53
3 45 46
3 46 94
3 47 44
3 48 65
3 49 31
3 50 79
3 51 29
3 52 46
3 53 21
3 54 55
3 55 3
3 56 10
3 57 53
3 58 14
3 59 11
3 60 78
3 61 87
3 62 58
3 63 85
3 64 74
3 65 97
3 66 62
3 67 7
3 68 86
3 69 76
3 70 93
3 71 99
3 72 79
3 73 84
3 74 90
3 75 36
3 76 27
3 77 96
3 78 49
3 79 57
3 80 93
3 81 42
3 82 98
3 83 1
3 84 73
3 85 64
3 86 92
3 87 70
3 88 86
3 89 39
3 90 77
3 91 9
3 92 41
3 93 66
3 94 100
3 95 45
3 96 29
3 97 18
3 98 91
3 99 23
3 100 47
4 5 36
4 6 69
4 7 68
4 8 78
4 9 20
4 10 23
4 11 40
4 12 3
4 13 61
4 14 83
4 15 27
4 16 87
4 17 57
4 18 42
4 19 8
4 20 71
4 21 97
4 22 5
4 23 39
4 24 73
4 25 62
4 26 19
4 27 50
4 28 38
4 29 28
4 30 30
4 31 13
4 32 24
4 33 17
4 34 54
4 35 66
4 36 62
4 37 19
4 38 71
4 39 36
4 40 95
4 41 49
4 42 67
4 43 99
4 44 48
4 45 98
4 46 51
4 47 28
4 48 93
4 49 35
4 50 39
4 51 97
4 52 73
4 53 38
4 54 59
4 55 76
4 56 45
4 57 20
4 58 33
4 59 64
