100 2000
23 8 83
71 21 70
96 72 52
18 15 88
74 67 52
91 89 89
38 66 89
54 66 69
27 66 57
94 100 88
46 51 66
52 100 72
59 95 70
93 94 56
69 81 92
98 100 67
37 79 93
78 70 74
94 85 73
70 59 75
84 77 52
86 84 99
65 18 98
4 8 90
93 74 67
71 25 87
96 80 68
71 76 60
90 80 92
35 83 97
67 34 76
22 66 61
12 39 87
34 82 74
67 76 68
19 85 59
53 40 75
38 90 56
39 1 91
89 93 74
1 65 95
44 52 55
85 72 55
3 50 93
80 44 55
95 41 50
76 30 68
92 67 81
39 10 60
55 91 54
63 95 54
54 30 57
47 85 84
96 94 80
67 66 90
100 32 96
91 90 78
52 31 76
92 93 51
99 79 55
68 63 99
19 12 76
99 100 50
66 60 58
75 82 59
69 71 78
59 82 54
100 92 92
15 43 83
72 46 56
1 37 80
4 88 62
88 83 95
84 13 91
80 39 88
71 95 62
67 70 96
70 66 87
74 42 59
95 70 87
10 63 70
48 93 81
47 39 97
76 68 89
32 83 75
75 78 79
80 8 50
90 59 88
43 3 95
95 81 73
72 53 95
98 28 57
100 86 94
64 84 57
64 65 65
40 67 84
32 84 94
73 83 82
90 92 66
12 76 60
59 25 64
80 84 60
84 100 93
61 90 94
69 59 94
34 81 70
18 28 87
93 88 85
100 89 67
43 5 58
34 91 69
90 83 78
39 76 100
94 99 66
83 77 85
41 48 63
50 66 59
77 97 89
64 52 89
58 44 59
49 27 98
60 78 93
85 91 54
49 85 92
55 81 50
46 97 95
29 86 72
44 50 65
77 93 78
88 72 90
8 6 72
91 93 69
90 86 96
78 69 53
65 66 82
75 83 91
94 20 98
69 10 94
26 77 80
33 49 94
74 99 89
95 79 61
24 70 97
74 82 69
48 16 94
91 49 96
18 74 91
83 96 64
86 61 53
67 89 83
77 75 57
74 97 86
18 43 58
88 89 56
72 42 77
58 27 52
72 93 73
100 97 53
88 69 93
11 56 73
98 97 68
57 90 88
87 81 94
87 99 51
73 43 57
91 94 90
28 95 86
28 22 59
32 33 96
53 12 61
56 27 77
12 81 66
14 33 76
63 8 71
45 61 77
83 81 80
98 99 87
49 34 56
88 92 70
53 70 58
33 71 63
49 68 94
56 84 73
92 85 86
28 82 61
79 96 64
29 50 56
39 56 61
69 53 59
64 66 70
56 22 97
48 57 77
97 94 50
72 86 82
62 66 58
57 75 74
38 51 97
93 97 83
10 22 78
89 83 67
73 82 64
100 85 66
97 25 61
87 73 66
63 4 79
22 30 52
66 42 91
19 41 60
84 22 90
59 87 90
62 63 58
72 56 74
50 71 52
61 51 60
95 9 83
62 18 70
82 57 81
100 80 90
73 99 68
66 16 78
58 60 68
87 65 93
42 80 78
25 73 86
49 48 100
5 36 91
69 75 74
52 2 85
99 89 62
89 90 91
92 22 91
67 84 57
45 79 77
28 40 82
100 87 85
10 11 70
97 91 73
96 84 68
28 12 64
16 22 67
84 95 81
82 10 86
66 71 94
30 69 65
77 24 83
95 74 79
42 85 58
60 9 60
11 14 84
29 68 79
92 97 93
49 8 74
100 64 51
75 56 64
76 22 97
95 45 96
59 16 67
99 62 71
68 55 63
99 96 83
12 33 50
100 95 91
51 30 82
91 96 60
77 91 88
55 73 68
22 52 78
15 41 53
23 49 58
57 63 95
63 89 80
95 82 78
44 81 54
66 83 72
55 78 64
76 77 99
43 66 89
21 98 83
26 38 96
79 76 67
54 41 74
38 24 86
100 65 79
93 54 58
60 39 51
85 86 78
99 54 69
53 15 71
87 21 81
31 33 86
95 58 67
94 45 58
98 40 94
96 97 61
17 55 50
6 28 55
64 56 100
70 50 65
23 18 59
35 95 58
92 84 73
89 95 90
68 69 97
93 75 79
76 13 96
70 73 74
76 38 95
13 81 65
71 94 73
76 94 96
82 84 97
97 6 90
15 20 88
21 61 96
97 78 90
45 74 71
94 64 98
75 12 55
66 86 99
58 25 61
13 92 87
54 45 80
48 68 85
53 16 52
